Model,Type,Window Size,MAE,RMSE,R²,Inference Time
CNN (Window=24),Single-Step,1 days,3.6088071039511176,4.453312892981084,0.5715832566341761,0.6249959468841553
CNN (Window=168),Single-Step,7 days,4.851278427559653,5.870046627986379,0.25179714757313465,1.166632890701294
CNN (Window=336),Single-Step,14 days,4.7440448599909155,5.748775111059882,0.29075554437826534,1.6620113849639893
Hybrid CNN-LSTM,Single-Step,1 days,4.698789236808019,5.654145631268537,0.30938819783475413,1.3166680335998535
CNN-LSTM Multi-Step,24-Step,1 days,2.894714235611089,3.627109883629696,0.7136312415254387,N/A
